enc,tra,Papers_MyKey,Count_unique_papers
learnable and adaptive encoding,GPU \CPU,"['P01', 'P02', 'P03', 'P05', 'P08', 'P09', 'P13', 'P17', 'P18']",9
learnable encoding,GPU \CPU,"['P06', 'P07', 'P11', 'P12', 'P14', 'P15']",6
Adaptive encoding,GPU \CPU,"['P04', 'P10', 'P16', 'P19']",4
Adaptive encoding,MATLAB simulation,['P04'],1
learnable and adaptive encoding,CMOS energy model,['P01'],1
learnable and adaptive encoding,Gazebo simulator+AA19,['P09'],1
learnable and adaptive encoding,KerasSpiking,['P03'],1
learnable and adaptive encoding,Loihi,['P17'],1
learnable and adaptive encoding,Xylo-Av2,['P03'],1
learnable encoding,CMOS energy model,['P12'],1
learnable encoding,Loihi,['P07'],1
